T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
0.0,0.0,0.0,0.0,0.0,1507.0,939.0,2647.0,2512.0,537.0,2355.0,542.0,275.0,3926.0,2502.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,3639.0,5207.0,5407.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,1362.0,848.0,2408.0,2390.0,534.0,2347.0,534.0,265.0,4145.0,2548.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3821.0,5299.0,5648.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1208.0,749.0,2151.0,2257.0,534.0,2344.0,532.0,262.0,4376.0,2571.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970.0,5393.0,5900.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1048.0,647.0,1881.0,2114.0,507.0,2343.0,531.0,261.0,4618.0,2617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124.0,5490.0,6163.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,883.0,543.0,1599.0,1968.0,454.0,2343.0,531.0,261.0,4865.0,2689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4281.0,5587.0,6436.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,714.0,436.0,1304.0,1814.0,399.0,2343.0,531.0,261.0,4865.0,2689.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4442.0,5687.0,6723.0,0.0,74.0
0.0,0.0,0.0,0.0,0.0,540.0,328.0,996.0,1656.0,342.0,2343.0,531.0,261.0,4865.0,2689.0,0.0,0.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4609.0,5789.0,7023.0,0.0,150.0
0.0,0.0,0.0,0.0,0.0,362.0,219.0,675.0,1492.0,285.0,2343.0,531.0,261.0,4863.0,2689.0,0.0,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4780.0,5891.0,7336.0,0.0,226.0
0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2343.0,531.0,261.0,4863.0,2689.0,0.0,0.0,0.0,2390.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5134.0,6104.0,8002.0,0.0,530.0
0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2336.0,524.0,253.0,4863.0,2689.0,0.0,0.0,0.0,2499.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5134.0,6104.0,8002.0,0.0,549.0
