T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.164408e13,3.17239e13,1.28718e12,2.212304e13,4.62e11,1.08976e12,2.925e11,1.6452e11,1.0212e12,3.2844e11,9.296e10,1.235e11,5.796e10,4.588e10,7.9344e11,1.8368e11,0.0,2.52e9,0.0,0.0,2.6656e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.236704e13,3.36934e13,1.3671e12,2.349648e13,4.9068e11,1.15808e12,3.107e11,1.7496e11,1.09076e12,3.48e11,9.912e10,1.313e11,6.192e10,4.884e10,8.4228e11,1.9656e11,0.0,2.7e9,0.0,0.0,2.856e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.309e13,3.56629e13,1.44702e12,2.486992e13,5.1936e11,1.2264e12,3.289e11,1.854e11,1.16032e12,3.6756e11,1.0528e11,1.391e11,6.588e10,5.18e10,8.9112e11,2.0944e11,0.0,2.88e9,0.0,0.0,3.0464e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.381296e13,3.76324e13,1.52694e12,2.624336e13,5.4804e11,1.29304e12,3.471e11,1.9566e11,1.2284e12,3.864e11,1.1088e11,1.469e11,6.984e10,5.476e10,9.39e11,2.2232e11,0.0,3.06e9,0.0,0.0,3.2368e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.453592e13,3.96019e13,1.60686e12,2.76168e13,5.7672e11,1.358e12,3.653e11,2.0574e11,1.29648e12,4.0452e11,1.1648e11,1.534e11,7.38e10,5.772e10,9.8412e11,2.352e11,0.0,3.24e9,0.0,0.0,3.4272e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.525888e13,4.15714e13,1.68678e12,2.899024e13,6.054e11,1.42072e12,3.822e11,2.1546e11,1.36308e12,4.2204e11,1.2208e11,1.599e11,7.758e10,6.068e10,1.02756e12,2.4808e11,0.0,3.42e9,0.0,0.0,3.6176e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.598184e13,4.35409e13,1.7667e12,3.036368e13,6.3408e11,1.4812e12,3.991e11,2.2482e11,1.4282e12,4.3848e11,1.2768e11,1.664e11,8.136e10,6.364e10,1.0698e12,2.6096e11,0.0,3.6e9,0.0,0.0,3.808e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.67048e13,4.55104e13,1.84662e12,3.173712e13,6.6276e11,1.53888e12,4.147e11,2.3382e11,1.49332e12,4.5396e11,1.3272e11,1.729e11,8.496e10,6.66e10,1.1094e12,2.7384e11,0.0,3.78e9,0.0,0.0,3.9984e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.742664e13,4.74747e13,1.92636e12,3.31076e13,6.9144e11,1.5932e12,4.29e11,2.4246e11,1.55696e12,4.68e11,1.3776e11,1.781e11,8.856e10,6.808e10,1.14588e12,2.8672e11,0.0,3.96e9,0.0,0.0,4.1888e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92e9
4.874632e13,1.167842e14,3.209562e13,6.674208e13,4.82046e13,1.814456e13,4.94299e13,2.00574e12,3.447216e13,7.2e11,1.64248e12,4.42e11,2.5038e11,1.61764e12,4.8024e11,1.4224e11,1.833e11,9.198e10,6.956e10,1.17828e12,2.996e11,0.0,4.14e9,0.0,0.0,4.3792e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28e9
