"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ASEAN (Association of Southeast Asian Nations)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",593,603,659,710,749,789,821,825,845
"ASEAN (Association of Southeast Asian Nations)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7113,7943,8441,9018,9583,9894,10375,10555,11412
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",25665,26236,27034,28135,29152,29823,30388,30934,32418
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3678,2877,2971,3113,3241,3279,3342,3416,3696
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1375,1540,1649,2053,2187,2223,2192,2251,2354
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8353,8043,8028,7858,7907,8000,7873,7912,7698
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",877,883,940,1002,1044,1089,1135,1182,1230
"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11382,12893,13446,14109,14773,15232,15846,16173,17440
"CACM (Central American Common Market)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",675,609,609,584,580,576,574,577,555
"CACM (Central American Common Market)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",104,96,96,92,92,91,91,91,85
"CACM (Central American Common Market)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2,1,1,1,"..","..","..","..",".."
"CACM (Central American Common Market)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",335,278,277,265,253,253,253,252,249
"CACM (Central American Common Market)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,1,2,1,1,1,1,1,".."
"CACM (Central American Common Market)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",233,233,233,225,234,231,229,233,221
"CAN (Andean Community)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",354,314,321,368,380,393,393,383,393
"CAN (Andean Community)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",72,65,63,58,62,60,59,57,49
"CAN (Andean Community)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5,2,1,"..","..","..","..","..",".."
"CAN (Andean Community)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",93,71,69,65,65,64,61,60,55
"CAN (Andean Community)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2,1,2,2,2,2,2,3,2
"CAN (Andean Community)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",182,175,186,243,251,267,271,263,287
"CARICOM (Caribbean Community)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5268,5176,5162,4880,4772,4706,4662,4605,4455
"CARICOM (Caribbean Community)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",442,401,404,404,415,443,450,438,440
"CARICOM (Caribbean Community)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",530,513,484,468,463,467,472,465,469
"CARICOM (Caribbean Community)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1962,1858,1846,1643,1570,1515,1489,1425,1378
"CARICOM (Caribbean Community)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",493,527,501,463,424,370,318,269,227
"CARICOM (Caribbean Community)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1841,1877,1927,1902,1900,1911,1933,2008,1941
"CEFTA (Central European Free Trade Agreement)","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",244,245,251,267,256,252,241,223,222
"CEFTA (Central European Free Trade Agreement)","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",4,4,6,10,11,9,9,9,9
"CEFTA (Central European Free Trade Agreement)","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",6,2,7,8,8,9,10,8,8
"CEFTA (Central European Free Trade Agreement)","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",207,202,201,208,191,185,174,163,147
"CEFTA (Central European Free Trade Agreement)","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",3,2,2,1,1,1,1,3,4
"CEFTA (Central European Free Trade Agreement)","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..",24,35,35,40,45,48,47,40,54
"CEMAC (Economic and Monetary Community of Central Africa)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",70,76,77,82,109,104,120,102,106
"CEMAC (Economic and Monetary Community of Central Africa)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4,6,6,8,11,9,10,9,8
"CEMAC (Economic and Monetary Community of Central Africa)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1
"CEMAC (Economic and Monetary Community of Central Africa)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20,21,20,19,34,30,42,26,26
"CEMAC (Economic and Monetary Community of Central Africa)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,1,1,1,".."
"CEMAC (Economic and Monetary Community of Central Africa)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",46,49,51,55,63,64,67,66,71
"CEN-SAD (Community of Sahel-Saharan States)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1985,1924,1981,2062,2218,2266,2379,2396,2643
"CEN-SAD (Community of Sahel-Saharan States)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",222,210,221,242,274,277,299,292,336
"CEN-SAD (Community of Sahel-Saharan States)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",62,45,39,37,42,56,50,50,55
"CEN-SAD (Community of Sahel-Saharan States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",572,531,542,536,566,585,657,664,720
"CEN-SAD (Community of Sahel-Saharan States)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",33,25,22,22,22,25,28,31,31
"CEN-SAD (Community of Sahel-Saharan States)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1096,1113,1157,1225,1314,1323,1345,1359,1501
"CEPGL (Economic Community of the Great Lakes Countries)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13,3,3,18,26,24,38,27,21
"CEPGL (Economic Community of the Great Lakes Countries)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,"..","..",1,1,2,2,1,2
"CEPGL (Economic Community of the Great Lakes Countries)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"CEPGL (Economic Community of the Great Lakes Countries)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,"..","..",5,12,9,20,12,4
"CEPGL (Economic Community of the Great Lakes Countries)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"CEPGL (Economic Community of the Great Lakes Countries)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",11,3,3,12,13,13,16,14,15
"CIS (Commonwealth of Independent States)","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2925,2927,3012,3153,3210,3253,3288,3296,3385
"CIS (Commonwealth of Independent States)","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",427,409,432,462,480,483,487,486,473
"CIS (Commonwealth of Independent States)","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",35,30,27,22,20,21,21,18,20
"CIS (Commonwealth of Independent States)","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1043,1023,1040,1095,1065,1066,1062,1061,1045
"CIS (Commonwealth of Independent States)","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13,12,12,10,11,13,14,16,17
"CIS (Commonwealth of Independent States)","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1407,1453,1501,1564,1634,1670,1704,1715,1830
"COMESA (Common Market for Eastern and Southern Africa)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1012,955,954,898,935,926,950,958,971
"COMESA (Common Market for Eastern and Southern Africa)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",92,85,89,88,98,96,98,101,95
"COMESA (Common Market for Eastern and Southern Africa)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",32,30,22,18,19,23,19,21,20
"COMESA (Common Market for Eastern and Southern Africa)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",258,223,219,169,174,174,192,199,187
"COMESA (Common Market for Eastern and Southern Africa)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7,5,5,6,5,7,11,10,12
"COMESA (Common Market for Eastern and Southern Africa)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",623,612,619,617,639,626,630,627,657
"EAC (East African Community)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",207,215,266,302,302,335,354,351,361
"EAC (East African Community)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",19,17,53,72,75,83,42,43,46
"EAC (East African Community)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",10,5,6,9,6,6,11,6,4
"EAC (East African Community)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",97,119,119,124,120,148,185,185,173
"EAC (East African Community)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6,2,6,7,6,4,8,9,8
"EAC (East African Community)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",75,72,82,90,95,94,108,108,130
"ECCAS (Economic Community of Central African States)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",150,136,138,165,205,203,228,199,197
"ECCAS (Economic Community of Central African States)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13,14,14,18,21,20,20,18,18
"ECCAS (Economic Community of Central African States)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1
"ECCAS (Economic Community of Central African States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51,46,45,50,73,66,86,64,55
"ECCAS (Economic Community of Central African States)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1,1,1,1,".."
"ECCAS (Economic Community of Central African States)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",86,76,79,97,110,116,121,116,123
"ECO (Economic Cooperation Organization)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2353,2391,2492,2482,2514,2553,2590,2542,2573
"ECO (Economic Cooperation Organization)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",261,202,205,199,206,206,217,214,207
"ECO (Economic Cooperation Organization)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",117,123,139,138,129,121,114,95,93
"ECO (Economic Cooperation Organization)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",802,810,823,827,832,846,848,805,772
"ECO (Economic Cooperation Organization)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",54,44,61,70,71,79,78,81,80
"ECO (Economic Cooperation Organization)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1119,1212,1264,1248,1276,1301,1333,1347,1421
"ECOWAS (Economic Community of West African States)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3867,4051,4232,4406,4510,4592,4770,4849,5260
"ECOWAS (Economic Community of West African States)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",847,816,848,878,880,873,947,931,1020
"ECOWAS (Economic Community of West African States)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",629,746,834,863,915,964,1020,1114,1196
"ECOWAS (Economic Community of West African States)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",490,483,505,551,582,585,643,649,721
"ECOWAS (Economic Community of West African States)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",960,990,1007,969,923,926,876,848,869
"ECOWAS (Economic Community of West African States)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",941,1016,1038,1145,1210,1244,1284,1307,1454
"EFTA (European Free Trade Association)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1567,1614,1616,1594,1610,1623,1650,1650,1645
"EFTA (European Free Trade Association)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",122,79,80,78,76,74,82,83,90
"EFTA (European Free Trade Association)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",102,114,119,124,121,131,128,130,122
"EFTA (European Free Trade Association)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",318,307,305,254,250,249,263,258,225
"EFTA (European Free Trade Association)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6,6,5,3,2,"..","..","..",".."
"EFTA (European Free Trade Association)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1019,1108,1107,1135,1161,1169,1177,1179,1208
"EU15 (European Union 15)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9565,9879,9871,9393,9361,9261,9338,9493,9319
"EU15 (European Union 15)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1215,1075,1069,992,975,958,963,959,898
"EU15 (European Union 15)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",456,527,550,567,541,515,494,506,500
"EU15 (European Union 15)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1699,1773,1773,1666,1603,1596,1599,1605,1433
"EU15 (European Union 15)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",720,776,717,585,592,609,631,668,683
"EU15 (European Union 15)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5475,5728,5762,5583,5650,5583,5651,5755,5805
"EU25 (European Union 25)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12620,13094,13039,12639,12707,12752,12880,13077,12868
"EU25 (European Union 25)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1738,1467,1434,1376,1369,1366,1387,1424,1375
"EU25 (European Union 25)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1187,1342,1371,1429,1457,1478,1457,1463,1441
"EU25 (European Union 25)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2359,2422,2381,2219,2142,2131,2131,2137,1914
"EU25 (European Union 25)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1032,1107,1051,949,1000,1067,1106,1139,1144
"EU25 (European Union 25)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6304,6756,6802,6666,6739,6710,6799,6914,6994
"EU27 (European Union 27)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",12881,13342,13282,12834,12904,12948,13078,13269,13071
"EU27 (European Union 27)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1758,1486,1453,1391,1384,1381,1402,1440,1390
"EU27 (European Union 27)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1213,1361,1387,1432,1462,1480,1459,1465,1446
"EU27 (European Union 27)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2400,2458,2415,2251,2172,2163,2164,2168,1941
"EU27 (European Union 27)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1033,1109,1051,950,1000,1067,1106,1139,1144
"EU27 (European Union 27)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6477,6928,6976,6810,6886,6857,6947,7057,7150
"EU28 (European Union)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13141,13613,13548,13103,13179,13236,13394,13586,13407
"EU28 (European Union)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1774,1506,1471,1406,1399,1400,1421,1459,1410
"EU28 (European Union)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1233,1383,1409,1451,1481,1495,1476,1481,1461
"EU28 (European Union)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2454,2512,2467,2294,2213,2203,2203,2206,1973
"EU28 (European Union)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1033,1109,1051,950,1000,1067,1106,1139,1144
"EU28 (European Union)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6647,7103,7150,7002,7086,7071,7188,7301,7419
"Euro area","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9742,10130,10076,9869,9959,10043,10173,10332,10255
"Euro area","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1328,1125,1100,1087,1095,1092,1107,1143,1134
"Euro area","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1095,1233,1250,1295,1324,1362,1333,1326,1291
"Euro area","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1919,1978,1947,1842,1793,1795,1802,1819,1667
"Euro area","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",757,813,766,715,770,837,881,906,887
"Euro area","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4643,4981,5013,4930,4977,4957,5050,5138,5276
"FTAA (Free Trade Area of the Americas)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",20480,20312,20481,20054,19961,19988,20085,20054,20011
