"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Developing economies: Oceania","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",243,237,245,263,288,310,285,271,287
"    Developing economies: Oceania","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",950,1164,1209,1344,1452,1611,1708,1642,1675
"  Transition economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3719,3658,3720,3750,3792,3824,3846,3858,3955
"  Transition economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",452,430,453,486,497,500,504,503,491
"  Transition economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",49,38,32,27,27,27,27,24,27
"  Transition economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1372,1290,1292,1274,1237,1236,1221,1218,1200
"  Transition economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",18,19,14,10,11,13,14,17,18
"  Transition economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1828,1881,1929,1953,2020,2048,2080,2096,2219
"  Developed economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",25112,25626,25682,25213,25399,25507,25737,26118,25638
"  Developed economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3161,2382,2371,2278,2312,2312,2334,2396,2302
"  Developed economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1467,1621,1667,1760,1799,1818,1795,1812,1780
"  Developed economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5307,5291,5271,4987,4862,4821,4820,4841,4357
"  Developed economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1174,1254,1187,1108,1143,1197,1241,1275,1288
"  Developed economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14003,15078,15186,15080,15283,15359,15547,15794,15911
"    Developed economies: America","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4247,4282,4298,4273,4330,4392,4436,4517,4498
"    Developed economies: America","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",129,113,114,93,94,94,98,107,102
"    Developed economies: America","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51,41,46,40,39,32,30,28,25
"    Developed economies: America","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",267,262,259,225,203,210,209,208,180
"    Developed economies: America","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",83,86,80,84,82,68,70,73,72
"    Developed economies: America","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3717,3780,3799,3831,3912,3988,4029,4101,4119
"    Developed economies: Asia","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5235,5166,5232,5216,5241,5210,5213,5341,5057
"    Developed economies: Asia","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1064,655,675,672,706,697,691,706,664
"    Developed economies: Asia","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",70,72,81,130,142,146,149,158,158
